,mes,dia,tramo,olas(m/direccion),periodo,energia,viento(velocidad/direccion),estado viento,marea_alta,marea_baja,temperatura_mar
0,4,lun11,tarde,3.5W,15,5990,15SSE,cross-off,,7:57PM1.19,12.4
1,4,lun11,noche,3W,14,3248,25SSW,cross-off,2:13AM2.60,,12.4
2,4,martes12,mañana,3.5W,14,4067,25SSW,cross-off,,8:36AM 0.95 ,12.4
3,4,martes12,tarde,3W,13,2972,20WSW,cross,2:46PM 2.57 ,,12.4
4,4,martes12,noche,2.5W,12,1989,20S,cross-off,2:59AM2.86,8:47PM 0.95 ,12.4
5,4,miércoles13,mañana,2.4WNW,11,1245,10SW,cross,,9:17AM 0.68 ,12.4
6,4,miércoles13,tarde,2.1WNW,10,817,5N,glass,3:26PM 2.83 ,,12.4
7,4,miércoles13,noche,1.6WNW,9,391,10E,cross-off,3:37AM3.13,9:27PM 0.69 ,12.4
8,4,jueves14,mañana,1.1WNW,9,189,15E,cross-off,,9:53AM 0.41 ,12.4
9,4,jueves14,tarde,1W,8,137,20NE,cross,4:02PM 3.09 ,,12.4
10,4,jueves14,noche,0.9WNW,14,277,20ENE,cross-off,4:13AM3.37,10:04PM 0.45 ,12.4
11,4,viernes15,mañana,2.2WNW,13,1556,20ENE,cross-off,,10:27AM 0.18 ,12.4
12,4,viernes15,tarde,2.1WNW,12,1200,20ENE,cross-off,4:36PM 3.32 ,,12.4
13,4,viernes15,noche,1.8W,12,940,10E,cross-off,4:49AM3.56,10:40PM 0.23 ,12.4
14,4,sábado16,mañana,1.9WNW,12,1100,5ENE,glass,,11:02AM0.01,12.4
15,4,sábado16,tarde,2.1WNW,13,1474,15ENE,cross-off,5:11PM3.50,,12.4
16,4,sábado16,noche,2W,13,1357,15ENE,cross-off,,11:17PM 0.07 ,12.4
17,4,domingo17,mañana,1.8W,12,989,20ENE,cross-off,5:26AM 3.67 ,11:38AM-0.08,12.4
18,4,domingo17,tarde,1.7W,12,814,30NE,cross,5:48PM3.60,,12.4
19,4,domingo17,noche,1.4W,12,546,20ENE,cross-off,,11:55PM -0.02 ,12.4
20,4,lunes18,mañana,1.2W,11,358,25ENE,cross-off,6:05AM 3.68 ,12:16PM-0.06,12.4
21,4,lunes18,tarde,1W,11,267,30NE,cross,6:26PM3.62,,12.4
22,4,lunes18,noche,1.1NW,11,283,25ENE,cross-off,,12:35AM -0.01 ,12.4
23,4,martes19,mañana,1.4NW,13,673,10NE,cross,6:46AM 3.59 ,12:56PM0.06,12.4
24,4,martes19,tarde,1.6NW,12,761,0ESE,glass,7:06PM3.54,,12.4
25,4,martes19,noche,2.4NNW,12,1543,20SSW,cross-off,,1:19AM 0.09 ,12.4
26,4,miércoles20,mañana,2.2NNW,11,1121,25SSW,cross-off,7:30AM 3.39 ,1:39PM0.27,12.4
27,4,miércoles20,tarde,1.7NW,10,627,30SSW,cross-off,7:51PM3.37,,12.4
28,4,miércoles20,noche,1.3NW,10,348,25SSW,cross-off,,2:08AM0.29,12.4
29,4,jueves21,mañana,1.1NW,10,227,30WSW,cross,8:20AM 3.12 ,,12.4
30,4,jueves21,tarde,0.9NW,9,123,35WSW,cross,,2:28PM 0.53 ,12.4
31,4,jueves21,noche,0.6NW,17,190,30WSW,cross,8:43PM 3.15 ,3:05AM0.53,12.4
32,4,viernes22,mañana,1.4NW,15,942,30SW,cross,9:20AM 2.83 ,,12.4
33,4,viernes22,tarde,1.6NW,14,961,25SW,cross,,3:27PM 0.80 ,12.4
34,4,viernes22,noche,2.4WNW,13,1965,5WSW,cross,9:47PM 2.92 ,4:18AM0.76,12.4
35,4,sáb23,mañana,2.1WNW,13,1341,15SW,cross,10:37AM 2.59 ,,12.4
